CUST_ID,AUM_AMT,DATE_OF_BIRTH,YEARLYINCOMELEVEL,CNTY_CD
ID25208,16363,20,25.0,12
ID7081,73416,20,25.0,12
ID29182,36122,20,25.0,12
ID6107,21396,20,25.0,12
ID7982,24919033,20,350.0,12
ID307,28535,20,1000.0,12
ID6866,4,20,25.0,12
ID18167,40051,20,25.0,12
ID6505,2022,20,25.0,12
ID15006,2427,20,25.0,12
ID23370,379,20,25.0,12
ID22741,0,20,25.0,12
ID4374,0,20,25.0,12
ID7193,3178,20,25.0,12
ID9739,125124,20,25.0,12
ID25789,56,20,25.0,12
ID27143,29344,20,25.0,12
ID23132,474,20,25.0,12
ID15259,21,20,25.0,12
ID18800,10279,20,25.0,12
ID28273,1163,20,25.0,12
ID13964,44,20,25.0,12
ID17682,102064,20,25.0,12
ID6619,21721,20,25.0,12
ID23693,1,20,25.0,12
ID21883,1749,20,25.0,12
ID11067,1610,20,25.0,12
ID9282,36,20,25.0,12
ID20184,1322,20,25.0,12
ID23390,1374,20,25.0,12
ID16703,9932,20,25.0,12
ID14077,3171,20,25.0,12
ID21048,30043,20,25.0,12
ID2608,99,20,25.0,12
ID10224,3166,20,25.0,12
ID29373,10617,20,25.0,12
ID10501,6071,20,25.0,12
ID8982,130,20,25.0,12
ID15771,1640,20,25.0,12
ID23374,67,20,126.0,12
ID4816,888,20,25.0,12
ID17228,112862,20,25.0,12
ID26439,34576,20,25.0,12
ID4514,119,20,25.0,12
ID22220,122618,20,25.0,12
ID3878,90,20,25.0,12
ID12489,154,20,25.0,12
ID25373,22280,20,25.0,12
ID25080,0,20,25.0,12
ID7725,38503,20,25.0,12
ID10051,147080,20,25.0,12
ID15967,10040,20,25.0,12
ID17118,18592,20,25.0,12
ID13905,501,20,25.0,12
ID1905,18434,20,25.0,12
ID19493,200,20,25.0,12
ID17337,13059,20,25.0,12
ID14429,51,20,25.0,12
ID3462,14338,20,25.0,12
ID16260,1994,20,25.0,12
ID720,1912,20,25.0,12
ID4056,3489,20,25.0,12
ID11384,11017,20,25.0,12
ID1928,3907,20,25.0,12
ID6229,3285,20,25.0,12
ID15888,164,20,25.0,12
ID27864,75036,20,25.0,12
ID15339,4303,20,25.0,12
ID8123,2111,20,25.0,12
ID22155,100951,20,25.0,12
ID13970,102,20,25.0,12
ID6169,31,20,25.0,12
ID29271,29,20,25.0,12
ID17712,701,20,25.0,12
ID21321,123608,20,25.0,12
ID26147,37378,20,25.0,12
ID6970,723,20,25.0,12
ID20322,774,20,25.0,12
ID19390,164,20,25.0,12
ID5138,1167,20,25.0,12
ID22355,12054,20,25.0,12
ID1337,5792,20,25.0,12
ID5194,48987,20,25.0,12
ID12047,33082,20,,12
ID20015,2723,20,25.0,12
ID16046,2484,20,25.0,12
ID4321,5382,20,25.0,12
ID2071,36180,20,25.0,12
ID512,4723,20,25.0,12
ID15015,3491,20,25.0,12
ID11513,25228,20,25.0,12
ID16730,76139,20,25.0,12
ID13963,100140,20,25.0,12
ID26722,21086,20,25.0,12
ID5290,897256,20,25.0,12
ID21554,195822,20,25.0,12
ID714,463,20,25.0,12
ID6686,153671,20,25.0,12
ID1969,36977,20,25.0,12
ID14302,4152,20,25.0,12
ID4583,84,20,25.0,12
ID442,7057,20,25.0,12
ID3852,3235,20,25.0,12
ID18217,17096,20,126.0,12
ID2467,87314,20,25.0,12
ID11919,52900,20,25.0,05
ID18816,10293,20,25.0,12
ID1172,86,20,25.0,12
ID28809,0,20,25.0,12
ID10937,260219,20,25.0,12
ID9402,1566,20,25.0,12
ID793,0,20,25.0,12
ID29582,490,20,25.0,12
ID15751,107604,20,25.0,12
ID21334,909,20,25.0,12
ID11850,8873,20,25.0,12
ID13102,17449,20,25.0,12
ID18533,43,20,25.0,12
ID28823,486,20,25.0,12
ID20129,414,20,25.0,12
ID26862,20220,20,25.0,12
ID10,10525,20,25.0,12
ID18580,210,20,25.0,12
ID17660,7213,20,25.0,12
ID13661,2387,20,25.0,12
ID6303,0,20,25.0,12
ID11327,15750,20,25.0,12
ID28488,162827,20,25.0,12
ID17683,120244,20,25.0,12
ID3757,0,20,25.0,12
ID11108,33226,20,25.0,12
ID6021,0,20,25.0,12
ID11283,15790,20,25.0,12
ID463,175,20,25.0,12
ID1046,1227562,20,25.0,12
ID28033,226,20,25.0,12
ID19280,212,20,25.0,12
ID13405,59,20,25.0,12
ID3990,991,20,25.0,12
ID21706,4344,20,25.0,12
ID3578,18,20,25.0,12
ID6762,15042,20,25.0,12
ID4702,27,20,25.0,12
ID12806,1532,20,25.0,12
ID6310,14961,20,25.0,12
ID9496,3613,20,25.0,12
ID24502,2105903,20,25.0,12
ID18691,53444,20,25.0,12
ID5706,20,20,,12
ID27706,4290,20,25.0,12
ID11038,109,20,126.0,12
ID25118,15788,20,25.0,12
ID28094,19495,20,25.0,12
ID17416,0,20,25.0,12
ID21534,33503,20,25.0,12
ID8501,22402,20,25.0,12
ID17850,50167,20,25.0,12
ID8568,516495,20,25.0,12
ID24772,65261,20,126.0,12
ID7120,997,20,25.0,12
ID13817,22,20,25.0,12
ID15975,64695,20,25.0,12
ID29803,5100,20,25.0,12
ID25541,93,20,25.0,06
ID3114,5795,20,25.0,12
ID5232,1,20,25.0,12
ID4449,102571,20,25.0,12
ID21842,79,20,25.0,12
ID19721,142,20,25.0,12
ID15487,406682,20,25.0,12
ID17277,24322,20,25.0,12
ID11741,3434,20,25.0,12
ID831,150078,20,25.0,12
ID20767,29926,20,25.0,12
ID25773,65932,20,25.0,12
ID5346,59089,20,25.0,12
ID22134,73946,20,25.0,12
ID27323,2132,20,25.0,12
ID23758,238976,20,25.0,12
ID11977,42372,20,25.0,12
ID11631,9083,20,25.0,14
ID19684,129428,20,1000.0,12
ID6184,26670,20,25.0,12
ID18633,20788,20,25.0,12
ID8366,402,20,25.0,12
ID23944,6606,20,25.0,12
ID17424,8067,20,25.0,12
ID23141,1232,20,25.0,12
ID14836,97,20,25.0,12
ID5552,190,20,25.0,12
ID10480,58476,20,25.0,12
ID22410,37230,20,25.0,12
ID1958,35843,20,25.0,12
ID23147,13090,20,25.0,12
ID16756,1852,20,25.0,12
ID4426,521,20,25.0,12
ID20605,566,20,25.0,12
ID5681,25,20,25.0,12
ID2539,10692,20,25.0,12
ID10524,109655,20,25.0,12
ID3112,877,20,25.0,12
ID5487,302878,20,,12
ID16034,202636,20,25.0,12
ID23155,49723,20,25.0,12
ID19026,0,20,25.0,12
ID16176,3101,20,25.0,12
ID6799,40099,20,,12
ID8518,38743,20,25.0,12
ID8885,20631,20,25.0,12
ID15278,11902,20,25.0,12
ID18214,6746159,20,25.0,12
ID12563,18691,20,25.0,12
ID19381,3794,21,25.0,12
ID9989,57527,21,25.0,12
ID9198,35241,21,25.0,12
ID26666,8162,21,25.0,12
ID6643,5043,21,25.0,12
ID23967,64,21,,12
ID4004,54225,21,25.0,12
ID27805,61,21,25.0,12
ID6638,0,21,25.0,12
ID17132,70,21,25.0,12
ID3576,63,21,25.0,12
ID4735,24728,21,25.0,12
ID10624,29,21,25.0,12
ID4982,32968,21,25.0,12
ID11834,6556,21,25.0,12
ID15696,140,21,25.0,12
ID8403,141085,21,25.0,12
ID29214,30564,21,25.0,12
ID22724,1876,21,25.0,12
ID1541,74,21,25.0,12
ID18595,121276,21,25.0,12
ID420,8200,21,25.0,12
ID24111,67,21,25.0,12
ID15684,173718,21,25.0,12
ID28511,81300,21,25.0,12
ID26660,3523,21,25.0,12
ID1389,999,21,126.0,12
ID16372,56372,21,25.0,12
ID7257,371,21,25.0,12
ID11019,33326,21,25.0,12
ID16876,11533,21,25.0,12
ID6027,5661,21,25.0,12
ID8091,0,21,25.0,12
ID7629,0,21,25.0,12
ID22077,16072,21,25.0,12
ID16811,25206,21,25.0,12
ID22863,7168,21,25.0,12
ID14247,67471,21,25.0,12
ID8924,3077442,21,25.0,12
ID25639,37138,21,25.0,12
ID6494,53563,21,25.0,12
ID1301,39345,21,25.0,12
ID1578,6684,21,25.0,12
ID3295,706,21,25.0,12
ID19608,0,21,25.0,12
ID13849,6455,21,126.0,12
ID7632,3794,21,25.0,12
ID7895,6803,21,25.0,12
ID9498,19173,21,25.0,12
ID1156,7542,21,25.0,12
ID10808,10401,21,25.0,12
ID8930,4,21,25.0,12
ID7029,126954,21,25.0,12
ID20391,29789,21,25.0,12
ID24441,0,21,25.0,12
ID4979,0,21,25.0,12
ID16279,349,21,25.0,12
ID27804,1754356,21,25.0,12
ID22986,0,21,25.0,12
ID13060,314,21,25.0,12
ID4619,69035,21,25.0,12
ID26886,3892,21,25.0,12
ID24940,621,21,25.0,12
ID12436,64,21,25.0,12
ID4054,12,21,25.0,12
ID29337,13842,21,25.0,12
ID15435,48,21,25.0,12
ID23663,422,21,25.0,12
ID12642,3960,21,25.0,06
ID15276,10,21,25.0,12
ID14387,61,21,25.0,12
ID1006,1225,21,25.0,12
ID13785,8016,21,25.0,12
ID24929,273431,21,25.0,12
ID19795,886,21,25.0,12
ID8182,8365,21,25.0,12
ID3644,58036,21,25.0,12
ID13766,13515,21,25.0,12
ID2857,6080,21,25.0,12
ID27992,0,21,25.0,12
ID23151,1647,21,25.0,12
ID9967,0,21,126.0,12
ID24122,52941,21,,12
ID24495,52220,21,25.0,12
ID10004,153630,21,25.0,12
ID5279,5111,21,25.0,06
ID18500,4487,21,25.0,12
ID15823,224,21,25.0,12
ID22669,9473,21,25.0,12
ID10497,409283,21,25.0,12
ID16141,41,21,25.0,12
ID9147,17122,21,25.0,12
ID5305,976,21,25.0,12
ID1663,47887,21,,12
ID10587,1111,21,25.0,12
ID377,71694,21,126.0,12
ID21207,61638,21,25.0,12
ID7650,31468,21,25.0,12
ID17485,2725,21,25.0,12
ID18199,76,21,25.0,12
ID6446,8225,21,25.0,12
ID18288,2975,21,25.0,12
ID23902,598,21,25.0,12
ID3318,125015,21,25.0,12
ID18935,9689,21,25.0,12
ID25681,2776,21,25.0,12
ID4153,0,21,25.0,12
ID23467,8038,21,25.0,12
ID10086,65,21,25.0,12
ID18873,219,21,25.0,12
ID22631,10714,21,25.0,12
ID17596,40111,21,25.0,12
ID14407,13817,21,25.0,12
ID5538,6250,21,25.0,12
ID1550,30588,21,25.0,12
ID4403,55,21,25.0,12
ID11112,12171,21,25.0,12
ID815,5109,21,25.0,12
ID29758,32812,21,25.0,12
ID18146,28349,21,25.0,12
ID16820,380,21,25.0,12
ID11169,2594,21,25.0,12
ID27237,2299,21,25.0,12
ID13286,960,21,25.0,14
ID3641,39449,21,25.0,12
ID20852,461,21,25.0,12
ID11840,127,21,25.0,12
ID23880,46,21,25.0,12
ID12570,1647,21,25.0,12
ID25952,0,21,25.0,12
ID15671,114,21,25.0,12
ID10445,15634,21,25.0,12
ID16031,114,21,25.0,12
ID2769,470155,21,,
ID29244,16825,21,25.0,12
ID19151,2145,21,25.0,12
ID19628,131,21,25.0,12
ID24953,0,21,25.0,12
ID15488,1205,21,25.0,12
ID22172,1655,21,25.0,12
ID29035,93696,21,25.0,12
ID15904,0,21,25.0,12
ID8365,4212,21,25.0,12
ID25828,35997,21,25.0,12
ID28360,102633,21,25.0,12
ID26395,13052,21,25.0,12
ID10109,0,21,25.0,12
ID19141,16111,21,25.0,12
ID10129,2376,21,25.0,12
ID1215,1100,21,25.0,12
ID13811,215133,21,25.0,12
ID3899,171134,21,25.0,12
ID21602,5009,21,25.0,12
ID8316,78047,21,25.0,12
ID22103,1178,21,25.0,12
ID19859,199649,21,25.0,12
ID18046,16775,21,25.0,06
ID3606,552,21,25.0,12
ID7239,77,21,25.0,12
ID21799,9424,21,25.0,12
ID8745,53323,21,25.0,12
ID4341,74587,21,25.0,12
ID20171,10427,21,25.0,12
ID7288,2828,21,25.0,12
ID5945,18861,21,25.0,12
ID24945,84,21,25.0,12
ID935,2055,21,25.0,12
ID7621,6983,21,25.0,12
ID2874,10,21,25.0,12
ID931,493,21,1000.0,12
ID12441,41281,21,25.0,12
ID12046,16945,21,25.0,12
ID1543,87180,21,25.0,12
ID10931,251,21,25.0,12
ID24463,7196,21,25.0,12
ID29205,2183,21,126.0,12
ID18525,8511,21,25.0,12
ID22861,2208,21,25.0,12
ID20807,1578,21,25.0,12
ID3102,49849,21,25.0,12
ID7439,43,21,25.0,12
ID25462,3490,21,25.0,12
ID23567,32,21,25.0,12
ID6088,0,21,25.0,12
ID19984,50700,21,25.0,12
ID28244,173348,21,126.0,12
ID1739,885,21,25.0,12
ID21890,81136,21,126.0,12
ID15415,269,21,25.0,12
ID29741,43937,21,25.0,12
ID20084,6278,21,25.0,12
ID24790,63466,21,25.0,12
ID13539,6401,21,25.0,12
ID1694,25403,21,25.0,12
ID17756,6404,21,25.0,12
ID3296,535,21,25.0,12
ID20949,5076,21,25.0,12
ID12992,90792,21,25.0,12
ID19524,437,21,25.0,12
