ACCT_NBR,CUST_ID,CANCEL_NO_CONTACT,IS_DIGITAL,ACCT_OPEN_DT
ACCT13119,ID12432,0,0,9722
ACCT4675,ID4362,0,0,8152
ACCT2514,ID2387,0,0,8153
ACCT26738,ID25374,0,0,8153
ACCT22594,ID21429,0,0,8526
ACCT23266,ID22071,0,0,8530
ACCT22566,ID21401,0,0,8527
ACCT29619,ID28124,0,0,8527
ACCT23481,ID22279,0,0,9121
ACCT26329,ID24977,0,0,6976
ACCT2836,ID2695,0,0,6726
ACCT28190,ID26765,0,0,9990
ACCT19779,ID18726,0,0,6728
ACCT2837,ID2695,0,0,10394
ACCT25974,ID24638,0,0,9989
ACCT7953,ID7490,0,0,6727
ACCT21910,ID20753,0,0,9567
ACCT21468,ID20326,0,0,9567
ACCT2835,ID2695,0,0,7554
ACCT1349,ID1265,0,0,8685
ACCT5284,ID4951,0,0,10613
ACCT20238,ID19158,0,0,8783
ACCT8677,ID8192,0,0,7737
ACCT8124,ID7651,0,0,6416
ACCT17642,ID16738,0,0,6416
ACCT11424,ID10803,0,0,6416
ACCT10294,ID9723,0,0,6416
ACCT14253,ID13506,0,0,6416
ACCT6386,ID5998,0,0,9455
ACCT18079,ID17127,0,0,9372
ACCT12316,ID11671,0,0,9398
ACCT4961,ID4629,0,0,10175
ACCT23387,ID22185,0,0,10172
ACCT28057,ID26634,0,0,10175
ACCT19398,ID18376,0,0,10172
ACCT31402,ID29832,0,0,9455
ACCT3005,ID2851,0,0,10185
ACCT29330,ID27856,0,0,10189
ACCT30647,ID29106,0,0,6944
ACCT2232,ID2114,0,0,8301
ACCT29015,ID27548,0,0,8916
ACCT1606,ID1509,0,0,8916
ACCT18561,ID17588,0,0,8922
ACCT25594,ID24282,0,0,10465
ACCT25609,ID24297,0,0,10504
ACCT10140,ID9571,0,0,10504
ACCT13411,ID12700,0,0,10504
ACCT8713,ID8225,0,0,10344
ACCT15417,ID14609,0,0,8453
ACCT8468,ID7986,0,0,10344
ACCT26460,ID25108,0,0,8453
ACCT5285,ID4952,0,0,9581
ACCT15794,ID14974,0,0,9395
ACCT18837,ID17849,0,0,9591
ACCT14885,ID14100,0,0,8208
ACCT12904,ID12227,0,0,8208
ACCT11692,ID11065,0,0,9591
ACCT11914,ID11282,0,0,8209
ACCT10743,ID10154,0,0,10569
ACCT22688,ID21516,0,0,10570
ACCT15148,ID14355,0,0,10569
ACCT1299,ID1216,0,0,9755
ACCT3321,ID3109,0,0,9755
ACCT18542,ID17569,0,0,9752
ACCT9218,ID8705,0,0,9751
ACCT9411,ID8894,0,0,10074
ACCT8236,ID7758,0,0,10073
ACCT28792,ID27333,0,0,10067
ACCT6088,ID5703,0,0,9360
ACCT17930,ID17013,0,0,6342
ACCT20607,ID19501,0,0,6342
ACCT7636,ID7190,0,0,7252
ACCT7408,ID6971,0,0,7251
ACCT2239,ID2120,0,0,10000
ACCT11902,ID11270,0,0,8164
ACCT6574,ID6181,0,0,8164
ACCT31413,ID29843,0,0,8163
ACCT28078,ID26654,0,0,8166
ACCT25106,ID23817,0,0,10000
ACCT27850,ID26429,0,0,8164
ACCT10384,ID9810,0,0,8166
ACCT16706,ID15836,0,0,8142
ACCT30954,ID29400,0,0,8142
ACCT31392,ID29822,0,0,8142
ACCT24877,ID23595,0,0,10158
ACCT12249,ID11605,0,0,9116
ACCT20512,ID19407,0,0,10158
ACCT20773,ID19660,0,0,9118
ACCT4871,ID4541,0,0,9282
ACCT8776,ID8288,0,0,9217
ACCT7909,ID7456,0,0,9282
ACCT6168,ID5782,0,0,6578
ACCT23888,ID22678,0,0,7379
ACCT22724,ID21552,0,0,7379
ACCT6948,ID6549,0,0,9284
ACCT11651,ID11028,0,0,8867
ACCT5979,ID5597,0,0,7281
ACCT23712,ID22508,0,0,7286
ACCT3744,ID3514,0,0,10546
ACCT25935,ID24606,0,0,10546
ACCT24306,ID23068,0,0,9876
ACCT12362,ID11709,0,0,9812
ACCT23427,ID22225,0,0,9815
ACCT26201,ID24859,0,0,5536
ACCT2212,ID2094,1,0,9814
ACCT12361,ID11709,0,0,9812
ACCT2851,ID2708,0,0,5537
ACCT11367,ID10753,0,0,8477
ACCT19172,ID18154,0,0,8274
ACCT10615,ID10026,1,0,8912
ACCT6982,ID6579,0,0,10086
ACCT5071,ID4739,0,0,8912
ACCT23472,ID22270,0,0,9654
ACCT22282,ID21119,0,0,9652
ACCT20242,ID19162,0,0,9654
ACCT13529,ID12812,0,0,9652
ACCT25176,ID23886,1,0,9652
ACCT7718,ID7268,0,0,8072
ACCT28784,ID27325,0,0,8073
ACCT8925,ID8435,0,0,8073
ACCT23691,ID22487,0,0,9946
ACCT24109,ID22880,0,0,7397
ACCT17330,ID16434,0,0,7400
ACCT4049,ID3805,0,0,8987
ACCT20420,ID19321,0,0,9951
ACCT4784,ID4455,0,0,9951
ACCT6636,ID6242,0,0,7621
ACCT24636,ID23362,0,0,10630
ACCT14230,ID13484,0,0,8698
ACCT9941,ID9377,0,0,8698
ACCT5721,ID5345,1,0,10129
ACCT24894,ID23612,0,0,9980
ACCT25916,ID24588,0,0,9981
ACCT11045,ID10440,0,0,9980
ACCT17531,ID16631,0,0,9406
ACCT26025,ID24685,0,0,9407
ACCT5506,ID5140,0,0,10450
ACCT18908,ID17919,0,0,10452
ACCT3711,ID3482,0,0,10456
ACCT23832,ID22622,0,0,10451
ACCT14259,ID13512,0,0,10562
ACCT11244,ID10632,0,0,8668
ACCT1132,ID1060,1,0,8503
ACCT13,ID9,0,0,8502
ACCT17118,ID16226,0,0,7369
ACCT528,ID486,0,0,8737
ACCT2668,ID2534,0,0,8736
ACCT30580,ID29039,0,0,7832
ACCT23864,ID22654,0,0,8736
ACCT15566,ID14752,0,0,9923
ACCT30650,ID29109,0,0,9923
ACCT16180,ID15345,0,0,6892
ACCT30808,ID29264,0,0,7832
ACCT6306,ID5919,0,0,10294
ACCT31179,ID29610,0,0,10295
ACCT11029,ID10424,0,0,10294
ACCT8588,ID8104,0,0,10296
ACCT25340,ID24037,0,0,9205
ACCT11031,ID10426,0,0,9504
ACCT16756,ID15886,0,0,9505
ACCT25855,ID24532,0,0,9500
ACCT12653,ID11985,0,0,9742
ACCT29456,ID27971,0,0,9742
ACCT24843,ID23561,0,0,8915
ACCT7567,ID7126,0,0,8916
ACCT20409,ID19310,0,0,8692
ACCT6376,ID5988,0,0,8692
ACCT9509,ID8971,0,0,10045
ACCT8092,ID7619,0,0,8054
ACCT28303,ID26867,0,0,9972
ACCT9238,ID8725,1,0,9972
ACCT28624,ID27168,0,0,5892
ACCT28444,ID27003,0,0,8365
ACCT22901,ID21721,0,0,8369
ACCT18006,ID17055,0,0,8365
ACCT30081,ID28564,0,0,9497
ACCT17224,ID16329,0,0,9203
ACCT10469,ID9887,0,0,10578
ACCT11519,ID10897,0,0,10633
ACCT2077,ID1963,0,0,10557
ACCT7208,ID6780,0,0,8484
ACCT25820,ID24500,1,0,10318
ACCT29363,ID27889,0,0,10310
ACCT14543,ID13773,0,0,10318
ACCT10981,ID10379,0,0,9280
ACCT7216,ID6788,0,0,9280
ACCT2397,ID2275,0,0,9280
ACCT17315,ID16419,0,0,10485
ACCT1856,ID1750,0,0,10490
ACCT25969,ID24633,0,0,10490
ACCT583,ID540,0,0,8821
ACCT12905,ID12228,0,0,7463
ACCT14046,ID13307,0,0,7463
ACCT25356,ID24053,0,0,10582
ACCT1935,ID1827,1,0,10585
ACCT9441,ID8920,0,0,10582
ACCT15042,ID14255,0,0,7307
ACCT27066,ID25680,0,0,7306
ACCT25925,ID24596,0,0,10582
ACCT9429,ID8911,0,0,10584
ACCT12268,ID11623,0,0,9395
ACCT25335,ID24032,0,0,8266
ACCT2751,ID2615,0,0,8264
ACCT13856,ID13125,0,0,8264
ACCT1830,ID1724,0,0,8546
ACCT16535,ID15683,0,0,8096
ACCT19524,ID18491,0,0,6384
ACCT1529,ID1438,0,0,6384
ACCT20703,ID19591,0,0,6383
ACCT11428,ID10807,0,0,6384
ACCT12188,ID11544,0,0,8240
ACCT2116,ID2002,0,0,8243
ACCT26843,ID25474,0,0,8881
ACCT4710,ID4393,0,0,8877
ACCT6689,ID6295,0,0,8078
ACCT4963,ID4631,0,0,8670
ACCT320,ID298,0,0,8670
ACCT8862,ID8372,0,0,8211
ACCT25393,ID24090,0,0,9765
ACCT6659,ID6265,0,0,9387
ACCT11485,ID10864,1,0,9385
ACCT16071,ID15236,0,0,9171
ACCT8503,ID8021,0,0,9172
ACCT23678,ID22474,0,0,10051
ACCT7336,ID6903,0,0,10002
ACCT9313,ID8798,0,0,8162
ACCT28667,ID27209,0,0,6412
ACCT27195,ID25801,0,0,7643
ACCT7323,ID6890,0,0,6411
ACCT2458,ID2336,0,0,6411
ACCT31286,ID29716,0,0,10528
ACCT20091,ID19022,0,0,6729
ACCT21051,ID19930,0,0,6411
ACCT640,ID593,0,0,7389
ACCT2235,ID2117,0,0,6729
ACCT3590,ID3365,0,0,8852
ACCT9761,ID9211,0,0,7288
ACCT29085,ID27616,0,0,7288
ACCT11314,ID10701,0,0,7288
ACCT3960,ID3717,0,0,7288
ACCT15596,ID14781,0,0,7874
ACCT16236,ID15398,0,0,7926
ACCT18898,ID17909,0,0,7926
ACCT25500,ID24190,0,0,4639
ACCT12443,ID11787,0,0,8818
ACCT7206,ID6778,1,0,10610
ACCT18285,ID17322,0,0,8260
ACCT16743,ID15873,0,0,8260
ACCT29247,ID27776,0,0,8260
ACCT5585,ID5215,0,0,8143
ACCT30048,ID28531,0,0,8148
ACCT15045,ID14258,0,0,9388
ACCT12502,ID11839,0,0,9379
ACCT29968,ID28452,0,0,10617
ACCT17711,ID16803,0,0,7881
ACCT19192,ID18174,0,0,7882
ACCT4343,ID4086,0,0,7881
ACCT18276,ID17313,0,0,10269
ACCT6550,ID6157,0,0,7882
ACCT22349,ID21186,0,0,9874
ACCT20497,ID19393,0,0,8687
ACCT5762,ID5385,0,0,5054
ACCT23628,ID22426,0,0,5055
ACCT8614,ID8130,0,0,8114
ACCT27449,ID26043,0,0,9622
ACCT26945,ID25572,0,0,8114
ACCT28963,ID27497,0,0,8114
ACCT6246,ID5859,0,0,10329
ACCT12879,ID12202,0,0,10329
ACCT5150,ID4818,0,0,9171
ACCT30347,ID28819,1,0,9420
ACCT12351,ID11699,0,0,9420
ACCT2147,ID2029,0,0,9420
ACCT17138,ID16244,1,0,9419
ACCT21508,ID20365,0,0,9395
ACCT3649,ID3422,0,0,9395
ACCT11756,ID11127,0,0,9385
ACCT1489,ID1398,0,0,8176
ACCT1950,ID1842,0,0,10504
ACCT30583,ID29042,0,0,8181
ACCT28914,ID27449,0,0,10504
ACCT17479,ID16580,0,0,10504
ACCT17280,ID16384,0,0,9284
ACCT18998,ID17987,0,0,9282
ACCT24112,ID22883,0,0,9098
ACCT21209,ID20079,0,0,10632
ACCT11782,ID11151,0,0,9101
ACCT27427,ID26021,0,0,9107
ACCT20845,ID19730,0,0,9603
ACCT17447,ID16551,1,0,9601
ACCT30503,ID28963,0,0,9601
ACCT25189,ID23899,0,0,9605
ACCT2462,ID2340,0,0,9601
ACCT16143,ID15308,0,0,8267
ACCT20504,ID19400,0,0,8905
ACCT6034,ID5651,0,0,9034
ACCT19790,ID18737,0,0,8153
ACCT11527,ID10904,0,0,8153
ACCT30817,ID29273,0,0,6500
ACCT8097,ID7624,0,0,10534
ACCT1258,ID1184,0,0,10539
ACCT8942,ID8448,0,0,10533
ACCT24677,ID23401,0,0,10535
ACCT31338,ID29768,0,0,10539
ACCT18450,ID17480,0,0,10409
ACCT9704,ID9156,0,0,10417
ACCT29236,ID27765,0,0,10421
ACCT14461,ID13700,0,0,10421
ACCT2608,ID2475,0,0,7466
ACCT30799,ID29256,0,0,7466
ACCT19397,ID18375,0,0,9331
ACCT23142,ID21956,0,0,9332
ACCT22716,ID21544,0,0,10494
ACCT19920,ID18864,0,0,9213
ACCT17602,ID16698,0,0,9134
ACCT27954,ID26533,0,0,17386
ACCT4335,ID4078,0,0,17588
ACCT22340,ID21177,0,0,17386
ACCT3210,ID3004,0,0,16832
ACCT28326,ID26890,0,0,18103
ACCT6035,ID5652,0,0,18102
ACCT14836,ID14054,0,0,18101
ACCT30362,ID28834,0,0,18103
ACCT22080,ID20918,0,0,18101
ACCT14702,ID13927,0,0,18102
ACCT22767,ID21589,0,0,18103
ACCT7662,ID7215,0,0,18103
ACCT16422,ID15578,0,0,18102
ACCT28879,ID27415,0,0,18101
ACCT23244,ID22055,0,0,18102
ACCT17982,ID17037,0,0,18101
ACCT23899,ID22687,0,0,18103
ACCT20006,ID18944,0,0,18102
ACCT12913,ID12236,0,0,18103
ACCT28193,ID26767,0,0,18101
ACCT18919,ID17926,0,0,18101
ACCT24273,ID23037,0,0,18101
ACCT18921,ID17926,0,0,18101
ACCT8158,ID7683,0,0,18102
ACCT14513,ID13751,0,0,18103
ACCT18637,ID17662,0,0,18102
ACCT16831,ID15952,0,0,18102
ACCT5891,ID5511,0,0,18102
ACCT17850,ID16938,0,0,18102
ACCT20431,ID19330,0,0,18102
ACCT10845,ID10247,0,0,18102
ACCT16189,ID15354,0,0,18103
ACCT10957,ID10355,0,0,18101
ACCT21361,ID20223,0,0,18101
ACCT2123,ID2008,0,0,18102
ACCT23986,ID22766,0,0,18102
ACCT4318,ID4061,0,0,18102
ACCT20658,ID19548,0,0,18103
ACCT21374,ID20236,0,0,18102
ACCT14320,ID13570,0,0,18103
ACCT21205,ID20076,0,0,18103
ACCT25554,ID24242,0,0,18101
ACCT24755,ID23473,0,0,18102
ACCT4652,ID4339,0,0,18101
ACCT6681,ID6287,0,0,18102
ACCT5272,ID4939,0,0,18102
ACCT19328,ID18306,0,0,18101
ACCT24899,ID23617,0,0,18103
ACCT12914,ID12236,0,0,18103
ACCT16167,ID15332,0,0,18101
ACCT29392,ID27915,0,0,18101
ACCT31217,ID29647,0,0,18102
ACCT28709,ID27251,0,0,18102
ACCT7596,ID7151,0,0,18103
ACCT14901,ID14116,0,0,18102
ACCT4646,ID4339,0,0,18101
ACCT6326,ID5938,0,0,18101
ACCT30246,ID28722,0,0,18101
ACCT21135,ID20008,0,0,18101
ACCT27117,ID25728,0,0,18103
ACCT25327,ID24024,0,0,18103
ACCT16636,ID15773,0,0,18102
ACCT3276,ID3068,0,0,18103
ACCT20869,ID19754,0,0,18102
ACCT27843,ID26423,0,0,18104
ACCT19190,ID18172,0,0,18103
ACCT30715,ID29174,0,0,18102
ACCT15456,ID14648,0,0,18101
ACCT18380,ID17412,0,0,18101
ACCT4644,ID4339,0,0,18101
ACCT30088,ID28571,0,0,18101
ACCT2543,ID2416,0,0,18102
ACCT20137,ID19067,0,0,18101
ACCT10208,ID9638,0,0,18102
ACCT29394,ID27915,0,0,18102
ACCT30521,ID28981,0,0,18102
ACCT7695,ID7245,0,0,18103
ACCT20397,ID19304,0,0,18103
ACCT19244,ID18222,0,0,18103
ACCT25495,ID24185,0,0,18103
ACCT14434,ID13673,0,0,18101
ACCT16638,ID15773,0,0,18103
ACCT4648,ID4339,0,0,18101
ACCT11884,ID11253,0,0,18103
ACCT25320,ID24020,0,0,18102
ACCT19794,ID18741,0,0,18102
ACCT19407,ID18385,0,0,18103
ACCT27842,ID26423,0,0,18103
ACCT24535,ID23278,0,0,18101
ACCT10139,ID9570,0,0,18103
ACCT16601,ID15743,0,0,18102
ACCT9974,ID9410,0,0,18101
ACCT726,ID677,0,0,18101
ACCT14514,ID13751,0,0,18102
ACCT21040,ID19919,0,0,18102
ACCT22011,ID20850,0,0,18102
ACCT5553,ID5186,0,0,18102
ACCT7990,ID7521,0,0,18101
ACCT15890,ID15070,0,0,18102
ACCT12108,ID11466,0,0,18103
ACCT3526,ID3303,0,0,18101
ACCT17971,ID17037,0,0,18101
ACCT9489,ID8966,0,0,18103
ACCT6048,ID5665,0,0,18103
ACCT3477,ID3258,0,0,18102
ACCT23245,ID22055,0,0,18102
ACCT3628,ID3403,0,0,18103
ACCT27014,ID25630,0,0,18102
ACCT23764,ID22560,0,0,18101
ACCT9383,ID8866,0,0,18102
ACCT24536,ID23278,0,0,18101
ACCT25635,ID24323,0,0,18101
ACCT4638,ID4339,0,0,18101
ACCT4642,ID4339,0,0,18101
ACCT24013,ID22789,0,0,18102
ACCT5980,ID5597,0,0,18102
ACCT16567,ID15713,0,0,18101
ACCT24525,ID23273,0,0,18102
ACCT30912,ID29359,0,0,18102
ACCT3118,ID2925,0,0,18103
ACCT18710,ID17728,0,0,18101
ACCT21348,ID20213,0,0,18102
ACCT1539,ID1448,0,0,18104
ACCT26342,ID24990,0,0,18101
ACCT30538,ID28998,0,0,18102
ACCT619,ID572,0,0,18103
ACCT9491,ID8966,0,0,18103
ACCT10844,ID10247,0,0,18103
ACCT17970,ID17037,0,0,18101
ACCT13706,ID12981,0,0,18102
ACCT7568,ID7127,0,0,18102
ACCT7938,ID7476,0,0,18101
ACCT24753,ID23473,0,0,18101
ACCT16990,ID16102,0,0,18101
ACCT6467,ID6077,0,0,18101
ACCT16910,ID16024,0,0,18101
ACCT753,ID702,0,0,18103
ACCT27264,ID25868,0,0,18103
ACCT24681,ID23405,0,0,18103
ACCT29393,ID27915,0,0,18101
ACCT16565,ID15713,0,0,18101
ACCT18640,ID17662,0,0,18101
ACCT25279,ID23982,0,0,18102
ACCT14512,ID13751,0,0,18102
ACCT13704,ID12979,0,0,18103
ACCT20416,ID19317,0,0,18104
ACCT28865,ID27402,0,0,18102
ACCT23898,ID22687,0,0,18103
ACCT14915,ID14130,0,0,18103
ACCT27624,ID26213,0,0,18102
ACCT21712,ID20565,0,0,18102
ACCT4643,ID4339,0,0,18101
ACCT25005,ID23719,0,0,18103
ACCT26178,ID24836,0,0,18103
ACCT30021,ID28504,0,0,18101
ACCT16789,ID15911,0,0,18101
ACCT4647,ID4339,0,0,18101
ACCT22367,ID21204,0,0,18102
ACCT4649,ID4339,0,0,18101
ACCT3476,ID3258,0,0,18102
ACCT23608,ID22406,0,0,18102
ACCT24104,ID22875,0,0,18103
ACCT24751,ID23473,0,0,18101
ACCT6625,ID6231,0,0,18103
ACCT19795,ID18741,0,0,18102
ACCT22369,ID21204,0,0,18102
ACCT14520,ID13751,0,0,18103
ACCT4651,ID4339,0,0,18101
ACCT12938,ID12256,0,0,18103
ACCT14866,ID14082,0,0,18102
ACCT21995,ID20835,0,0,18103
ACCT18915,ID17926,0,0,18101
ACCT27640,ID26227,0,0,18101
ACCT13032,ID12348,0,0,18102
ACCT284,ID265,0,0,18101
ACCT15218,ID14424,0,0,18102
ACCT21375,ID20236,0,0,18102
ACCT11004,ID10399,0,0,18103
ACCT17974,ID17037,0,0,18101
ACCT8062,ID7590,0,0,18102
ACCT14518,ID13751,0,0,18103
ACCT22023,ID20861,0,0,18101
ACCT15325,ID14522,0,0,18101
ACCT19877,ID18821,0,0,18102
ACCT6436,ID6047,0,0,18101
ACCT4626,ID4339,0,0,18101
ACCT13905,ID13174,0,0,18102
ACCT1565,ID1473,0,0,18102
ACCT14321,ID13570,0,0,18103
ACCT24541,ID23278,0,0,18101
ACCT4597,ID4326,0,0,18103
ACCT3629,ID3403,0,0,18102
ACCT17622,ID16718,0,0,18101
ACCT7931,ID7476,0,0,18101
ACCT4623,ID4339,0,0,18101
ACCT7933,ID7476,0,0,18101
ACCT22285,ID21122,0,0,18102
ACCT11749,ID11121,0,0,18101
ACCT2809,ID2669,0,0,18101
ACCT28662,ID27204,0,0,18102
ACCT24061,ID22835,0,0,18102
ACCT18925,ID17926,0,0,18101
ACCT14140,ID13398,0,0,18103
ACCT28551,ID27097,0,0,18102
ACCT29142,ID27673,0,0,18103
ACCT26372,ID25020,0,0,18103
ACCT7529,ID7088,0,0,18103
ACCT3851,ID3615,0,0,18101
ACCT5659,ID5286,0,0,18104
ACCT27641,ID26227,0,0,18101
ACCT16632,ID15773,0,0,18101
ACCT18520,ID17549,0,0,18102
ACCT7932,ID7476,0,0,18103
ACCT7458,ID7019,0,0,18101
ACCT29701,ID28197,0,0,18103
ACCT26596,ID25240,0,0,18103
ACCT14141,ID13398,0,0,18102
ACCT1625,ID1528,0,0,18101
ACCT12915,ID12236,0,0,18103
ACCT538,ID496,0,0,18101
ACCT10695,ID10106,0,0,18102
ACCT7663,ID7215,0,0,18103
ACCT4650,ID4339,0,0,18101
ACCT20635,ID19529,0,0,18102
ACCT19584,ID18550,0,0,18101
ACCT21715,ID20567,0,0,18102
ACCT7939,ID7476,0,0,18103
ACCT2429,ID2307,0,0,18101
ACCT5830,ID5450,0,0,18102
ACCT16633,ID15773,0,0,18101
ACCT19623,ID18583,0,0,18101
ACCT2808,ID2669,0,0,18101
ACCT9187,ID8680,0,0,18101
ACCT27344,ID25938,0,0,18103
ACCT16634,ID15773,0,0,18102
ACCT4637,ID4339,0,0,18101
ACCT2044,ID1931,0,0,18101
ACCT14433,ID13673,0,0,18102
ACCT26345,ID24993,0,0,18101
ACCT27840,ID26423,0,0,18102
ACCT18916,ID17926,0,0,18101
ACCT17560,ID16658,0,0,18101
ACCT9492,ID8966,0,0,18103
ACCT11978,ID11340,0,0,18102
ACCT7988,ID7521,0,0,18101
ACCT3447,ID3231,0,0,18101
ACCT3702,ID3474,0,0,18102
ACCT18922,ID17926,0,0,18101
ACCT9119,ID8613,0,0,18102
ACCT24546,ID23278,0,0,18101
ACCT19600,ID18564,0,0,18103
ACCT12342,ID11692,0,0,18101
ACCT30795,ID29252,0,0,18103
ACCT14516,ID13751,0,0,18102
ACCT24752,ID23473,0,0,18102
ACCT19456,ID18429,0,0,18102
ACCT23336,ID22135,0,0,18101
ACCT13371,ID12661,0,0,18103
ACCT1221,ID1149,0,0,18101
ACCT18521,ID17549,0,0,18102
ACCT24526,ID23273,0,0,18102
ACCT7664,ID7215,0,0,18103
ACCT9490,ID8966,0,0,18101
ACCT20007,ID18944,0,0,18102
ACCT24537,ID23278,0,0,18101
ACCT562,ID520,0,0,18102
ACCT5178,ID4845,0,0,18103
ACCT18003,ID17052,0,0,18103
ACCT12071,ID11430,0,0,18103
ACCT6778,ID6384,0,0,18101
ACCT28550,ID27097,0,0,18102
ACCT14521,ID13751,0,0,18102
ACCT25007,ID23719,0,0,18102
ACCT1427,ID1340,0,0,18103
ACCT19329,ID18307,0,0,18101
ACCT10605,ID10017,0,0,18103
ACCT20073,ID19005,0,0,18103
ACCT18241,ID17280,0,0,18101
ACCT18918,ID17926,0,0,18101
ACCT30775,ID29233,0,0,18102
ACCT21136,ID20008,0,0,18101
ACCT2043,ID1931,0,0,18101
ACCT6493,ID6102,0,0,18103
ACCT9500,ID8966,0,0,18101
ACCT31108,ID29542,0,0,18102
ACCT28866,ID27402,0,0,18103
ACCT7544,ID7103,0,0,18102
ACCT30245,ID28722,0,0,18101
ACCT30546,ID29006,0,0,18102
ACCT6674,ID6280,0,0,18104
ACCT22742,ID21569,0,0,18101
ACCT2807,ID2669,0,0,18101
ACCT1960,ID1852,0,0,18103
ACCT4636,ID4339,0,0,18101
ACCT25028,ID23739,0,0,18103
ACCT9186,ID8680,0,0,18101
ACCT12389,ID11736,0,0,18101
ACCT15502,ID14694,0,0,18103
ACCT7963,ID7500,0,0,18102
ACCT22091,ID20929,0,0,18103
ACCT18920,ID17926,0,0,18101
ACCT7936,ID7476,0,0,18103
ACCT4635,ID4339,0,0,18101
ACCT2236,ID2117,0,0,18102
ACCT7732,ID7282,0,0,18102
ACCT1395,ID1308,0,0,18102
ACCT12725,ID12055,0,0,18102
ACCT30549,ID29008,0,0,18103
ACCT20005,ID18944,0,0,18102
ACCT9501,ID8966,0,0,18103
ACCT24409,ID23169,0,0,18103
ACCT18926,ID17926,0,0,18101
ACCT12021,ID11381,0,0,18101
ACCT5554,ID5186,0,0,18102
ACCT11776,ID11145,0,0,18102
ACCT21555,ID20408,0,0,18103
ACCT9396,ID8879,0,0,18103
ACCT4634,ID4339,0,0,18101
ACCT24538,ID23278,0,0,18101
ACCT18642,ID17662,0,0,18102
ACCT22974,ID21794,0,0,18101
ACCT4218,ID3962,0,0,18103
ACCT7937,ID7476,0,0,18103
ACCT29216,ID27745,0,0,18103
ACCT27021,ID25637,0,0,18102
ACCT247,ID230,0,0,18101
ACCT29987,ID28470,0,0,18103
ACCT21846,ID20692,0,0,18103
ACCT2122,ID2008,0,0,18103
ACCT18981,ID17970,0,0,18102
ACCT14707,ID13931,0,0,18101
ACCT21714,ID20567,0,0,18102
